species_name,latitude,longitude,coordinate_uncertainty
Alnus glutinosa,53.523295,-2.6301419999999998,6.0
Alnus glutinosa,53.037265000000005,-0.825083,5.0
Alnus glutinosa,53.778151,-2.215379,3.0
Alnus glutinosa,53.552533999999994,-2.627071,899.0
Alnus glutinosa,53.040065000000006,-0.8214889999999999,5.0
Alnus glutinosa,53.137299,-3.799003,65.0
Alnus glutinosa,53.469747999999996,-3.027664,1.0
Alnus glutinosa,52.440008999999996,-1.9102990000000002,8.0
Alnus glutinosa,53.492206,-2.5369990000000002,2.0
Alnus glutinosa,53.35554499999999,-2.729139,2.0
Alnus glutinosa,53.296963,-0.433958,4.0
Alnus glutinosa,53.725798,-2.672798,2.0
Alnus glutinosa,53.506342000000004,-2.544238,2.0
Alnus glutinosa,53.435625,-2.6827229999999997,2.0
Alnus glutinosa,53.633453,-2.81012,6.0
Alnus glutinosa,53.440234999999994,-2.688352,2.0
Alnus glutinosa,53.43565699999999,-2.682249,4.0
Alnus glutinosa,53.435711,-2.6829509999999996,2.0
Alnus glutinosa,53.730771,-2.673145,2.0
Alnus glutinosa,52.695071,-2.77754,74.0
Alnus glutinosa,52.48790699999999,-2.101191,2.0
Alnus glutinosa,53.403041,-2.8741369999999997,4.0
Alnus glutinosa,52.49189200000001,-2.09758,31.0
Alnus glutinosa,53.354452,-2.843454,1.0
Alnus glutinosa,52.607986,-2.1443779999999997,171.0
Alnus glutinosa,53.599892000000004,-2.835672,8.0
Alnus glutinosa,53.354554,-2.8435349999999997,1.0
Alnus glutinosa,53.564077000000005,-3.051996,76.0
Alnus glutinosa,53.362196999999995,-2.7840830000000003,4.0
Alnus glutinosa,52.417173,-1.87336,25.0
Alnus glutinosa,52.464344,-2.0611029999999997,6.0
Alnus glutinosa,53.571261,-3.0502,78.0
Alnus glutinosa,53.732037,-2.6751080000000003,8.0
Alnus glutinosa,53.840833999999994,-2.484659,22.0
Alnus glutinosa,52.58404,-2.1769939999999997,9.0
Alnus glutinosa,52.496553000000006,-2.090035,4.0
Alnus glutinosa,53.377987,-2.937377,8.0
Alnus glutinosa,53.8751,-2.378703,32.0
Alnus glutinosa,53.410658999999995,-2.722102,702.0
Alnus glutinosa,53.55497,-3.091145,32.0
Alnus glutinosa,51.478035999999996,-2.551462,8.0
Alnus glutinosa,53.371885,-2.954987,1.0
Alnus glutinosa,51.496669,-2.608463,374.0
Alnus glutinosa,52.619725,-2.1524970000000003,392.0
Alnus glutinosa,53.561727000000005,-2.299787,19.0
Alnus glutinosa,53.40593199999999,-2.235959,11.0
Alnus glutinosa,52.443714,-2.047914,38.0
Alnus glutinosa,55.177259,-2.149713,35.0
Alnus glutinosa,52.463516000000006,-1.992268,2.0
Alnus glutinosa,53.432396999999995,-2.297661,5.0
Alnus glutinosa,52.574514,-1.844857,32.0
Alnus glutinosa,53.714515000000006,-2.666655,2.0
Alnus glutinosa,52.473576,-1.751713,33.0
Alnus glutinosa,53.586369999999995,-2.8590419999999996,12.0
Alnus glutinosa,52.912898999999996,-1.21685,8.0
Alnus glutinosa,53.514503000000005,-2.985338,19.0
Alnus glutinosa,53.57865699999999,-3.084934,8.0
Alnus glutinosa,53.406172999999995,-2.876404,9.0
Alnus glutinosa,53.413081999999996,-2.724956,184.0
Alnus glutinosa,52.727669999999996,-2.3346,1000.0
Alnus glutinosa,53.440726,-2.902174,5.0
Alnus glutinosa,53.438796999999994,-2.684628,6.0
Alnus glutinosa,54.046994999999995,-1.2430450000000002,5.0
Alnus glutinosa,51.998045,-4.271742,8.0
Alnus glutinosa,53.448228,-2.87035,5.0
Alnus glutinosa,52.660109999999996,-1.31912,100.0
Alnus glutinosa,52.72582,-1.5311,10.0
Alnus glutinosa,52.64943,-0.6896,100.0
