,species_name,taxon_key,occurrence_count,image_count
0,Acer campestre,3189863,300,298
1,Alnus glutinosa,2876213,300,297
2,Betula pendula,5331916,300,289
3,Betula pubescens,9118014,300,294
4,Buxus sempervirens,2984671,300,297
5,Carpinus betulus,2875818,300,299
6,Cornus sanguinea,3082234,300,239
7,Corylus avellana,2875979,300,295
8,Crataegus laevigata,8252683,300,296
9,Crataegus monogyna,9220780,300,291
10,Euonymus europaea,3169131,300,300
11,Fagus sylvatica,2882316,300,298
12,Frangula alnus,3039454,300,300
13,Fraxinus excelsior,3172358,300,297
14,Ilex aquifolium,5414222,300,298
15,Juniperus communis,2684709,300,287
16,Malus sylvestris,3001509,300,299
17,Pinus sylvestris,5285637,300,296
18,Populus nigra,3040227,300,300
19,Populus tremula,3040249,300,293
20,Prunus avium,3020791,300,298
21,Prunus padus,3021037,300,291
22,Prunus spinosa,3023221,300,299
23,Pyrus cordata,5362519,166,164
24,Quercus petraea,2880130,300,299
25,Quercus robur,2878688,300,254
26,Rhamnus cathartica,3039491,300,299
27,Salix caprea,5372952,300,285
28,Salix cinerea subsp. oleifolia,5582546,300,288
29,Salix fragilis,5372829,300,201
30,Salix pentandra,5372647,300,299
31,Salix viminalis,5372933,300,259
32,Sambucus nigra,2888728,300,300
33,Sorbus aucuparia,3012167,300,297
34,Sorbus rupicola,9415196,300,300
35,Sorbus torminalis,9410160,300,292
36,Taxus baccata,5284517,300,300
37,Tilia cordata,3152047,300,300
38,Tilia platyphyllos,3152048,300,300
39,Tilia x europaea,3152046,300,298
40,Ulmus glabra,5361866,300,299
41,Ulmus procera,5361862,259,253
42,Viburnum opulus,2888605,300,299
